지자체,관리청,해수욕장명,길이(m),너비(m),백사장면적(m2)
경상남도,거제시,옥계, 115 , 10 ," 1,150 "
경상남도,거제시,와현모래숲, 382 , 51 ," 19,482 "
경상남도,거제시,죽림, 125 , 62 ," 7,750 "
경상남도,거제시,학동흑진주몽돌," 1,022 ", 44 ," 44,968 "
경상남도,거제시,함목, 190 , 52 ," 9,880 "
경상남도,거제시,황포, 213 , 20 ," 4,260 "
경상남도,거제시,흥남, 332 , 34 ," 11,288 "
경상남도,남해군,두곡월포, 850 , 30 ," 25,500 "
경상남도,남해군,사촌, 450 , 20 ," 9,000 "
경상남도,남해군,상주은모래비치, 770 , 150 ," 115,500 "
경상남도,남해군,설리, 320 , 43 ," 13,760 "
경상남도,남해군,송정솔바람해변, 605 , 50 ," 30,250 "
경상남도,사천시,남일대, 175 , 95 ," 16,625 "
경상남도,창원시,광암, 220 , 30 ," 6,600 "
경상남도,통영시,비진도, 317 , 20 ," 6,340 "
경상남도,통영시,사량도 대항, 220 , 7 ," 1,540 "
경상남도,통영시,수륙, 130 , 23 ," 2,990 "
경상북도,경주시,관성, 932 , 39 ," 36,348 "
경상북도,경주시,나정, 383 , 52 ," 19,916 "
경상북도,경주시,봉길대왕암, 538 , 35 ," 18,830 "
경상북도,경주시,오류, 462 , 63 ," 29,106 "
경상북도,경주시,전촌, 624 , 58 ," 36,192 "
경상북도,영덕군,경정, 450 , 14 ," 6,300 "
경상북도,영덕군,고래불," 2,000 ", 122 ," 244,000 "
경상북도,영덕군,남호, 500 , 14 ," 7,000 "
경상북도,영덕군,대진, 350 , 146 ," 51,100 "
경상북도,영덕군,오보, 250 , 20 ," 5,000 "
경상북도,영덕군,장사," 1,200 ", 16 ," 19,200 "
경상북도,영덕군,하저, 550 , 19 ," 10,450 "
경상북도,울진군,구산, 360 , 65 ," 23,400 "
경상북도,울진군,기성망양, 646 , 60 ," 38,760 "
경상북도,울진군,나곡, 150 , 60 ," 9,000 "
경상북도,울진군,망양정, 435 , 63 ," 27,405 "
경상북도,울진군,봉평, 157 , 50 ," 7,850 "
경상북도,울진군,후정, 346 , 35 ," 12,110 "
경상북도,울진군,후포, 225 , 67 ," 15,075 "
경상북도,포항시,구룡포, 400 , 50 ," 20,000 "
경상북도,포항시,도구, 800 , 39 ," 31,200 "
경상북도,포항시,영일대," 1,750 ", 219 ," 383,250 "
경상북도,포항시,월포," 1,100 ", 98 ," 107,800 "
경상북도,포항시,칠포," 4,000 ", 81 ," 324,000 "
경상북도,포항시,화진, 750 , 75 ," 56,250 "
부산시,기장군,일광, 900 , 18 ," 16,200 "
부산시,기장군,임랑, 710 , 15 ," 10,650 "
부산시,사하구,다대포, 850 , 150 ," 127,500 "
부산시,서구,송도, 800 , 60 ," 48,000 "
부산시,수영구,광안리," 1,400 ", 51 ," 71,400 "
부산시,해운대구,송정," 1,200 ", 45 ," 54,000 "
부산시,해운대구,해운대," 1,500 ", 80 ," 120,000 "
울산시,동구,일산, 815 , 42 ," 34,230 "
울산시,울주군,진하," 1,100 ", 35 ," 38,500 "
인천시,옹진군,떼뿌루, 411 , 26 ," 10,686 "
인천시,옹진군,서포리," 1,093 ", 40 ," 43,720 "
인천시,옹진군,수기, 523 , 21 ," 10,983 "
인천시,옹진군,십리포, 498 , 13 ," 6,474 "
인천시,옹진군,옹암, 902 , 20 ," 18,040 "
인천시,옹진군,이일레, 465 , 32 ," 14,880 "
인천시,옹진군,장경리, 924 , 11 ," 10,164 "
인천시,옹진군,장골, 690 , 89 ," 61,410 "
인천시,중구,왕산, 795 , 35 ," 27,825 "
인천시,중구,을왕리, 585 , 90 ," 52,650 "
인천시,중구,하나개, 455 , 100 ," 45,500 "
전라남도,고흥군,금장, 500 , 20 ," 10,000 "
전라남도,고흥군,나로우주, 600 , 50 ," 30,000 "
전라남도,고흥군,남열해돋이, 800 , 80 ," 64,000 "
전라남도,고흥군,대전, 900 , 70 ," 63,000 "
전라남도,고흥군,덕흥, 500 , 50 ," 25,000 "
전라남도,고흥군,발포, 300 , 70 ," 21,000 "
전라남도,고흥군,연소, 600 , 20 ," 12,000 "
전라남도,고흥군,염포, 500 , 30 ," 15,000 "
전라남도,고흥군,용동, 400 , 20 ," 8,000 "
전라남도,고흥군,익금, 900 , 50 ," 45,000 "
전라남도,고흥군,풍류, 500 , 50 ," 25,000 "
전라남도,목포시,외달도, 260 , 30 ," 7,800 "
