,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,지자체,해수욕장명,백사장면적(m2),camp_num,beach_code,latitude,longitude,obs_wtemp,obs_wave,obs_air,wtemp,wave,atemp,wind,toilet,shower
143,143,143,143,경상북도,월포," 107,800 ",2,BCH045,36.201,129.371,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
144,144,144,144,경상북도,칠포," 324,000 ",2,BCH072,36.132,129.399,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
145,145,145,145,경상북도,화진," 56,250 ",3,BCH046,36.251,129.373,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
146,146,146,146,부산시,일광," 16,200 ",0,BCH008,35.26,129.233,TW_0092,TW_0092,TW_0092,0.0,0.0,0.0,0.0,0,0
147,147,147,147,부산시,임랑," 10,650 ",0,BCH172,35.319,129.264,TW_0092,TW_0092,TW_0092,0.0,0.0,0.0,0.0,0,0
148,148,148,148,부산시,다대포," 127,500 ",0,BCH013,35.046,128.965,TW_0087,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
149,149,149,149,부산시,송도," 48,000 ",1,BCH012,35.075,129.016,TW_0087,TW_0062,TW_0062,0.0,0.0,0.0,0.0,0,0
150,150,150,150,부산시,광안리," 71,400 ",0,BCH002,35.153,129.118,TW_0062,TW_0062,TW_0062,0.0,0.0,0.0,0.0,0,0
151,151,151,151,부산시,송정," 54,000 ",2,BCH010,35.178,129.199,TW_0090,TW_0090,TW_0090,0.0,0.0,0.0,0.0,0,0
152,152,152,152,부산시,해운대," 120,000 ",0,BCH001,35.158,129.159,TW_0062,TW_0062,TW_0062,0.0,0.0,0.0,0.0,0,0
153,153,153,153,울산시,일산," 34,230 ",0,BCH068,35.495,129.43,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
154,154,154,154,울산시,진하," 38,500 ",0,BCH006,35.381,129.345,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
155,155,155,155,인천시,떼뿌루," 10,686 ",0,BCH322,37.212,126.176,TW_0082,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
156,156,156,156,인천시,서포리," 43,720 ",0,BCH272,37.221,126.113,TW_0082,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
157,157,157,157,인천시,수기," 10,983 ",1,BCH315,37.544,126.431,TW_0077,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
158,158,158,158,인천시,십리포," 6,474 ",2,BCH273,37.281,126.485,TW_0076,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
159,159,159,159,인천시,옹암," 18,040 ",1,BCH271,37.529,126.372,TW_0077,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
160,160,160,160,인천시,이일레," 14,880 ",0,BCH331,37.165,126.301,TW_0082,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
161,161,161,161,인천시,장경리," 10,164 ",1,BCH351,37.272,126.448,TW_0076,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
162,162,162,162,인천시,장골," 61,410 ",1,BCH326,37.249,126.315,TW_0070,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
163,163,163,163,인천시,왕산," 27,825 ",5,BCH275,37.455,126.369,TW_0076,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
164,164,164,164,인천시,을왕리," 52,650 ",1,BCH032,37.446,126.372,TW_0076,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
